RegionDescription                                  LastName             FirstName  CompanyName                              ProductName
-------------------------------------------------- -------------------- ---------- ---------------------------------------- ----------------------------------------
Eastern                                            Buchanan             Steven     Heli Süßwaren GmbH & Co. KG              NuNuCa Nuß-Nougat-Creme
Eastern                                            Buchanan             Steven     Nord-Ost-Fisch Handelsgesellschaft mbH   Nord-Ost Matjeshering
Eastern                                            Buchanan             Steven     Plutzer Lebensmittelgroßmärkte AG        Original Frankfurter grüne Soße
Eastern                                            Buchanan             Steven     Plutzer Lebensmittelgroßmärkte AG        Rhönbräu Klosterbier
Eastern                                            Buchanan             Steven     Plutzer Lebensmittelgroßmärkte AG        Rössle Sauerkraut
Eastern                                            Buchanan             Steven     Plutzer Lebensmittelgroßmärkte AG        Wimmers gute Semmelknödel
Eastern                                            Davolio              Nancy      Heli Süßwaren GmbH & Co. KG              Gumbär Gummibärchen
Eastern                                            Davolio              Nancy      Heli Süßwaren GmbH & Co. KG              NuNuCa Nuß-Nougat-Creme
Eastern                                            Davolio              Nancy      Heli Süßwaren GmbH & Co. KG              Schoggi Schokolade
Eastern                                            Davolio              Nancy      Nord-Ost-Fisch Handelsgesellschaft mbH   Nord-Ost Matjeshering
Eastern                                            Davolio              Nancy      Plutzer Lebensmittelgroßmärkte AG        Original Frankfurter grüne Soße
Eastern                                            Davolio              Nancy      Plutzer Lebensmittelgroßmärkte AG        Rhönbräu Klosterbier
Eastern                                            Davolio              Nancy      Plutzer Lebensmittelgroßmärkte AG        Rössle Sauerkraut
Eastern                                            Davolio              Nancy      Plutzer Lebensmittelgroßmärkte AG        Thüringer Rostbratwurst
Eastern                                            Davolio              Nancy      Plutzer Lebensmittelgroßmärkte AG        Wimmers gute Semmelknödel
Eastern                                            Fuller               Andrew     Heli Süßwaren GmbH & Co. KG              Gumbär Gummibärchen
Eastern                                            Fuller               Andrew     Heli Süßwaren GmbH & Co. KG              NuNuCa Nuß-Nougat-Creme
Eastern                                            Fuller               Andrew     Heli Süßwaren GmbH & Co. KG              Schoggi Schokolade
Eastern                                            Fuller               Andrew     Nord-Ost-Fisch Handelsgesellschaft mbH   Nord-Ost Matjeshering
Eastern                                            Fuller               Andrew     Plutzer Lebensmittelgroßmärkte AG        Original Frankfurter grüne Soße
Eastern                                            Fuller               Andrew     Plutzer Lebensmittelgroßmärkte AG        Rhönbräu Klosterbier
Eastern                                            Fuller               Andrew     Plutzer Lebensmittelgroßmärkte AG        Rössle Sauerkraut
Eastern                                            Fuller               Andrew     Plutzer Lebensmittelgroßmärkte AG        Thüringer Rostbratwurst
Eastern                                            Fuller               Andrew     Plutzer Lebensmittelgroßmärkte AG        Wimmers gute Semmelknödel
Eastern                                            Peacock              Margaret   Heli Süßwaren GmbH & Co. KG              Gumbär Gummibärchen
Eastern                                            Peacock              Margaret   Heli Süßwaren GmbH & Co. KG              NuNuCa Nuß-Nougat-Creme
Eastern                                            Peacock              Margaret   Heli Süßwaren GmbH & Co. KG              Schoggi Schokolade
Eastern                                            Peacock              Margaret   Nord-Ost-Fisch Handelsgesellschaft mbH   Nord-Ost Matjeshering
Eastern                                            Peacock              Margaret   Plutzer Lebensmittelgroßmärkte AG        Original Frankfurter grüne Soße
Eastern                                            Peacock              Margaret   Plutzer Lebensmittelgroßmärkte AG        Rhönbräu Klosterbier
Eastern                                            Peacock              Margaret   Plutzer Lebensmittelgroßmärkte AG        Rössle Sauerkraut
Eastern                                            Peacock              Margaret   Plutzer Lebensmittelgroßmärkte AG        Thüringer Rostbratwurst
Eastern                                            Peacock              Margaret   Plutzer Lebensmittelgroßmärkte AG        Wimmers gute Semmelknödel
Northern                                           Callahan             Laura      Heli Süßwaren GmbH & Co. KG              Gumbär Gummibärchen
Northern                                           Callahan             Laura      Heli Süßwaren GmbH & Co. KG              NuNuCa Nuß-Nougat-Creme
Northern                                           Callahan             Laura      Heli Süßwaren GmbH & Co. KG              Schoggi Schokolade
Northern                                           Callahan             Laura      Nord-Ost-Fisch Handelsgesellschaft mbH   Nord-Ost Matjeshering
Northern                                           Callahan             Laura      Plutzer Lebensmittelgroßmärkte AG        Original Frankfurter grüne Soße
Northern                                           Callahan             Laura      Plutzer Lebensmittelgroßmärkte AG        Rhönbräu Klosterbier
Northern                                           Callahan             Laura      Plutzer Lebensmittelgroßmärkte AG        Rössle Sauerkraut
